id,e1,e2,shear_1,shear_2,redshift,redshift_true,blendedness,snr_r,convergence,e1_hsm_regauss,e2_hsm_regauss,mag_r_meas,mag_r_true
3501160869,-0.053696923047936405,0.09953906047930691,-0.007020502540053153,0.007779428281891664,0.7453352791780901,0.7423254251480103,1.7052621692492664e-07,53.98111914641265,-0.01054671855446121,0.19100067019462585,0.27705177664756775,23.674308841014977,23.56888219346102
2812877231,0.01637240091304697,-0.00774373861266408,-9.31869094557003e-05,0.010546750556633216,0.4960935639388906,0.49567556381225586,7.114491455406657e-06,390.4985922616761,0.0013787138430880752,0.04205736145377159,0.0406341552734375,21.275129452036516,21.090652048052554
2813047456,0.21669612908645794,-0.17722107907323145,0.00019480734862697968,-0.00851067560127948,0.5396123911943156,0.5399813652038574,0.0,104.63876610336919,0.0007725832418230549,-0.501222550868988,-0.4461325407028198,23.21040274054073,23.085681484394563
2814242269,0.07798869182349866,0.10679146173481932,0.005922230237544124,-0.002842074984251853,0.8964479377708632,0.9012963771820068,0.020003711597209595,82.22657373928139,-0.009242937365280701,-0.17845971882343292,0.4460330009460449,23.457388154535604,23.268318981146805
3508457789,0.027664220247052652,-0.06522390589445935,0.018908384042580106,0.019460692808345722,1.9075789219278585,1.9034535884857178,2.70967988624804e-06,74.64767049282008,-0.005960910170051736,0.12376106530427933,0.2248276174068451,23.586027186598738,23.573314503408323
3500111473,0.007549487090623316,0.09963340819307344,-0.0012471420146202838,0.0026727817260381558,0.3329427013014359,0.33401715755462646,1.527050022176457e-05,642.0091464595674,-0.0038667181149771856,-0.006855578627437353,0.22022762894630432,20.460228464289603,20.591157467716364
2128677067,-0.013647376298048082,-0.05001270887362831,-0.004630306115694094,-0.0009676789348823778,1.220800682109699,1.2207958698272705,0.0019184527674717122,53.38644831304505,-0.00218947670704539,-0.11326722800731659,-0.05697813630104065,24.052461521469464,24.144266628195464
2815295465,-0.10316905663457589,-0.011111641262601654,0.0041179319361926425,-0.0051224981886398065,1.0977027400792267,1.103306770324707,0.0008298160491946316,78.43447074636208,0.007587018685709657,0.6417994499206543,0.08983335644006729,23.529946149187,23.432328134642564
3506000552,-0.004224634610849577,-0.00025691261613307293,0.004290234900602652,0.018633539747134338,1.5889854754298764,1.5918114185333252,0.00045579766880265993,44.70553185107291,-0.017123937976183168,0.16982369124889374,0.6730541586875916,24.11766129999801,24.105976034942714
3500144723,0.015579380126133406,-0.05393175992298372,0.0011553166536453219,0.00045852969748924523,0.34930896554659197,0.3490896224975586,0.007629138069356833,859.4307835017823,-0.0031475808938530303,-0.02684715762734413,-0.10050345212221146,20.537517129492493,20.383600132875202
